employee_id,first_name,last_name,department,job_title,hire_date,employment_status,position_id,salary_x,supervisor_id,gender,race_ethnicity,salary_y,job_level
1000,Danielle,Johnson,Engineering,Systems Engineer,2020-07-10,Active,P120,96048,1002.0,Non-Binary,White,92033.55867530865,Mid
1001,John,Taylor,Finance,Accountant,2017-08-03,Terminated,P121,73434,1009.0,Female,Black,75193.88464907072,Senior
1002,Erica,Mcclain,Engineering,Systems Engineer,2017-04-29,Terminated,P122,115302,,Female,White,110592.14884695337,Senior
1003,Brittany,Johnson,HR,HR Analyst,2017-06-10,Active,P123,90495,1007.0,Female,Hispanic,92860.05507212318,Junior
1004,Jeffery,Wagner,Customer Service,Service Rep,2016-04-18,Terminated,P124,86062,1009.0,Male,White,83371.63116739762,Manager
1005,Anna,Baldwin,Engineering,Project Engineer,2025-02-12,Active,P125,118878,1008.0,Non-Binary,Other,119025.89431773384,Junior
1006,Robert,Cole,Water Operations,Operations Supervisor,2020-07-30,Active,P126,115392,1004.0,Male,White,113706.2877445344,Junior
1007,Lisa,Smith,Water Operations,Operations Supervisor,2018-07-25,Active,P127,104118,1000.0,Non-Binary,Other,107079.51910917538,Manager
1008,Helen,Peterson,HR,HR Specialist,2018-06-29,Active,P128,107052,1004.0,Male,Hispanic,106129.31955888176,Junior
1009,Jason,Gallagher,Customer Service,CSR Lead,2017-08-02,Active,P129,120217,1007.0,Non-Binary,Other,125088.28389612291,Mid
1010,Christopher,Davis,HR,HR Specialist,2021-09-12,Active,P130,132357,1003.0,Non-Binary,Other,127983.69869914379,Manager
1011,Cassandra,Roman,Engineering,Project Engineer,2023-08-30,Terminated,P131,85203,1000.0,Male,Black,83234.12024496592,Senior
1012,Amanda,Dudley,HR,Recruiter,2022-04-15,On Leave,P132,70458,1002.0,Female,Black,67380.86768742136,Manager
1013,Christian,Carter,HR,HR Specialist,2021-12-31,On Leave,P133,119429,1009.0,Female,Asian,117037.46119335984,Junior
1014,Barbara,Bush,Water Operations,Operations Supervisor,2016-08-16,On Leave,P134,106566,1002.0,Female,Hispanic,111299.89931562553,Manager
1015,Donna,Mejia,Engineering,Project Engineer,2017-03-15,Terminated,P135,149593,1009.0,Non-Binary,Other,145038.61456045127,Junior
1016,Melissa,Delacruz,HR,Recruiter,2022-04-25,Terminated,P136,92087,1001.0,Male,Hispanic,87544.96867482833,Manager
1017,Joshua,Reid,Infrastructure,Engineer II,2022-01-19,On Leave,P137,143886,1007.0,Female,Other,142157.78462301742,Senior
1018,Francisco,Kelly,Finance,Budget Officer,2020-05-21,On Leave,P138,67331,1002.0,Female,Hispanic,66863.8320772594,Mid
1019,Jacqueline,Sutton,HR,HR Manager,2017-01-22,On Leave,P139,95093,1000.0,Female,Hispanic,96074.46691449925,Mid
1020,Chelsea,Jackson,Finance,Budget Officer,2020-01-05,Terminated,P140,101245,1002.0,Female,Hispanic,97981.23855347064,Manager
1021,Frank,Gray,Engineering,Project Engineer,2025-04-27,On Leave,P141,144259,1006.0,Female,Hispanic,147647.274108418,Manager
1022,Jeffrey,Nguyen,Finance,Financial Analyst,2016-10-18,Active,P142,92325,1007.0,Non-Binary,Black,90717.49468719163,Senior
1023,Jeremy,Johnson,Customer Service,CSR Lead,2021-03-19,Terminated,P143,136622,1005.0,Female,Hispanic,131346.85822375183,Mid
1024,Richard,Jones,Customer Service,CSR Lead,2025-06-30,On Leave,P144,88746,1001.0,Non-Binary,Other,85905.48204101717,Junior
1025,Nancy,Edwards,Customer Service,CSR Lead,2024-05-04,Active,P145,66175,1000.0,Non-Binary,Asian,69106.38650277718,Mid
1026,Randall,Rocha,Finance,Budget Officer,2023-08-27,Active,P146,149192,1005.0,Female,Hispanic,154134.45956051163,Junior
1027,Douglas,Taylor,Customer Service,Service Rep,2025-05-25,On Leave,P147,110019,1008.0,Female,Asian,106049.28478999286,Senior
1028,Amber,Burgess,Infrastructure,Civil Engineer,2023-02-19,On Leave,P148,132512,,Male,Hispanic,134614.47472861543,Manager
1029,Rachael,Ross,Engineering,Systems Engineer,2019-07-30,Terminated,P149,130381,1003.0,Female,White,129716.926812901,Manager
1030,Wendy,Taylor,Engineering,Project Engineer,2024-03-29,Active,P150,98469,1005.0,Non-Binary,Asian,98807.41236289713,Manager
1031,Christopher,Williams,Finance,Financial Analyst,2017-09-17,Active,P151,94522,1007.0,Non-Binary,White,97269.95225213301,Senior
1032,Eric,Moore,Finance,Budget Officer,2023-01-11,Active,P152,141959,1003.0,Non-Binary,Other,143290.8585338715,Junior
1033,Candace,Cruz,Engineering,Systems Engineer,2023-10-23,Active,P153,109009,1001.0,Male,Black,110726.99976741045,Senior
1034,Allison,Maddox,Customer Service,Service Rep,2016-01-16,Terminated,P154,102487,1006.0,Male,Other,97816.63352295887,Manager
1035,Erin,Wilson,HR,HR Analyst,2024-12-24,On Leave,P155,100306,1002.0,Female,Asian,96353.38741934001,Junior
1036,Karen,Mack,HR,Recruiter,2021-08-19,Terminated,P156,70322,1000.0,Female,Black,70397.07745862022,Mid
1037,Daniel,Graham,Engineering,Project Engineer,2023-07-26,Active,P157,129822,1001.0,Female,Hispanic,128408.68200460507,Mid
1038,Aaron,Bowen,Finance,Budget Officer,2020-04-29,On Leave,P158,132063,1001.0,Female,White,131835.4697731205,Senior
1039,Teresa,Gill,Water Operations,Water Quality Analyst,2024-06-25,Active,P159,130686,1002.0,Female,White,125668.56375005066,Mid
1040,Rita,Harrell,Engineering,Project Engineer,2020-12-03,On Leave,P160,148039,1009.0,Female,Hispanic,145715.77483654095,Mid
